url_index,url,title,label
1,http://www.keketui.com/p/du91k2.html,尼泊尔 | 雪山环绕的心灵归宿|可可推 尼泊尔是您一生不得不来的心灵归宿。在这里，我们的灵魂有处可依。,100.0
2,http://sports.163.com/16/1103/09/C4UHBI3C0005877U.html#f=post1603_tab_news,"又没底裤?皮蓬妻子性感现身 再曝光翘臀若隐若现_网易体育 又没底裤?皮蓬妻子性感现身 再曝光翘臀若隐若现,皮蓬",0.0
3,http://tt.mop.com/a/171008165459194559622.html,男子欲强奸10岁女童 遭村民捉住剃头鞭打-五花八门-猫扑贴贴-猫扑网 男子欲强奸10岁女童 遭村民捉住剃头鞭打,0.0
4,http://v.yinyuetai.com/video/2785962,"【MV】影视原声
	-别送我 电影《乘风破浪》插曲 - 高清MV在线播放 - 音悦Tai - 让娱乐更美好 这首单曲改编自1961问世的经典民谣500miles,由韩寒填词,陈鸿宇、苏紫旭、刘昊霖、寒洛四位年轻的音乐人演唱。MV中出现了大量正片未曾使用的情节镜头,暖心动人。",100.0
5,http://travel.sina.com.cn/hotels/news/2017-09-19/detail-ifykymue7330026.shtml?cre=travelpagew&mod=f&loc=8&r=9&doct=0&rfunc=58,厦门马哥孛罗东方大酒店日式刺身拼盘及丝路冰咖啡全新上市_新浪旅游_新浪网,100.0
6,http://ent.cqnews.net/html/2015-11/09/content_35721043.htm,"
怪癖男子长期吃屎称女厕所的好吃 超重口味胆小慎入
-娱乐地带-华龙网 怪癖男子长期吃屎称女厕所的好吃，小伙伴都惊呆了。视频截图　　随后男子的回答更加令人震惊，记者问男子为什么会选择女厕所，该名男子回答称“女厕的比较好吃点。",0.0
7,http://36kr.com/p/5096565.html,高效远程办公的逻辑：Stack Overflow 的“远程至上”哲学_36氪,100.0
9,http://biandang.58.com/bj/chuangyefuwu/28677233955662x.shtml?iuType=p_0&PGTID=0d35fbda-0000-1ebc-a76c-e919c88d5069&ClickID=10,【58便当】增值税申报流程                                                       增值税是以商品（含应税劳务）在流转过程中产生的增值额作为计税依据而征收的一种流转税，其申报流程如下：                  　　【基本规范】 　　（1）办税服务厅接收纳税人申报资料信息或纳税人通过互联网络申报后提交的纸质资料，核对资料信息是否齐全、是否符合法定形式、填写内容是否完整、是否与税收优惠备案审批信息一致，符合的即时办结；不符合的当场一次性告知应补正资料或不予受理原因。 ,100.0
10,http://www.jianshu.com/p/8ee60ee5fb6e,"当小三那些年，我们只讲原则不说爱 - 简书 01 清晨5点半,肖笑从睡梦中惊醒，她照例用右手摸摸右边，看身边那个人是否还在。 但是摸了个空，这也不奇怪，她早已经习惯了，只不过再次确认一下，免得老龚给她“意外惊喜”。 尽管她再清楚不过，“惊喜”就是他留下来陪她过周末，这个概率和她怀孕差不多，微乎其微。 没错，肖笑是个人人喊打的小三，部门上司龚一鸣的情人。 龚一鸣不需要提前设定闹钟,他会准时在五点起床，不紧不慢地洗漱，剃须后拍上须后水，头...",0.0
11,http://www.toutiao.com/a6470650566715376142/,中国将建世界上最大的国家公园，超越美国黄石公园成为世界第一！ 近日，我国将建设，秦岭、黄河和黄帝陵三大国家公园。说不定，世界最大公园就建在你家门口啦！跟着枫林大叔去看看即将惊艳世界的美景！更 更 更重要的是：这3个即将建成的国家公园里，包含了,100.0
12,https://prom.gome.com.cn/html/prodhtml/topics/201710/10/shjdqnq.html?intcmp=sy-ad10047,"生活家电取暖器专场-优惠活动_打折促销-国美 国美生活家电取暖器专场优惠活动打折促销信息为您提供国美在线近期精选最便宜的商品优惠活动和打折促销商品,购买最便宜优惠的商品就来国美在线",100.0
13,https://zhuanlan.zhihu.com/p/29242300,美骑观察丨不讲浪漫只爱实用才是法国人的真本色,100.0
14,http://www.exam58.com/twwds/499.html,王维《相思》“红豆生南国，春来发几枝？”全诗翻译与赏析-学习网 王维《相思》红豆生南国，春来发几枝 意思解析翻译注解 相思 王维 红豆生南国，春来发几枝？ 愿君多采撷，此物最相思。 【诗文解释】 生长于南方的红豆，入春以来不知长出多少枝,100.0
15,https://www.amazon.cn/dp/B06Y2D6V4V/ref=cngwdyfloorv2_recs_0/459-6959143-3613921?pf_rd_m=A1AJ19PSB66TGU&pf_rd_s=desktop-2&pf_rd_r=VR2YN3EN165W2TC9XXYB&pf_rd_r=VR2YN3EN165W2TC9XXYB&pf_rd_t=36701&pf_rd_p=19fc3fc8-b320-45dc-a7e8-b4ecd543eea8&pf_rd_p=19fc3fc8-b320-45dc-a7e8-b4ecd543eea8&pf_rd_i=desktop,"Canon 佳能-佳能Canon 微单EOS M6 15-45mm套机 自拍数码相机高清 鹿晗同款微单 (官方标配, 黑色)-价格 报价 图片 评测 多少钱 佳能Canon 微单EOS M6 15-45mm套机 自拍数码相机高清 鹿晗同款微单 (官方标配, 黑色), 品牌: Canon 佳能, 佳能canon",100.0
16,"https://list.jd.com/list.html?cat=9192,9194,9215", 蛋白质 营养成分 医药保健【行情 价格 评价 图片】- 京东 京东JD.COM是国内专业的蛋白质网上购物商城，本频道提供蛋白质价格、蛋白质评论、蛋白质图片、导购、促销等相关信息，为您提供愉悦的网上购物体验！ ,100.0
17,http://36kr.com/goods/10002?ktm_source=kaike_pclandingpage_intro_pc,硅谷早知道 · 开氪 36氪为您提供创业资讯、科技新闻、投融资对接、股权投资、极速融资等创业服务，致力成为创业者可以依赖的创业服务平台，为创业者提供最好的产品和服务。,100.0
18,http://bbs.xiaomi.cn/u-detail-161731310,个人资料页 - 小米社区官方论坛,100.0
19,http://www.lc123.net/laws/2017-10-12/317174.html, 《南阳市城市绿化条例》获省人大常委会批准 全文 - 新规速递 - 法律法规网 《南阳市城市绿化条例》获省人大常委会批准,100.0
20,http://www.chinaz.com/start/2017/0930/810783.shtml,拿到10亿融资后，蜻蜓FM称：别人做知识付费，我们做的是“后知识付费” - 站长之家 “音频作为一种载体，更合适去传达类似价值观，或者说是‘无用之用’的东西。”9 月 22 日，网上有消息称，蜻蜓FM完成最新一轮融资，数额达 10 亿元，刷新了目前互联网音频行业的单轮融资纪录。,100.0
21,http://www.mama.cn/baby/art/20170829/782128.html,还在纠结要不要把宝宝叫醒来喂夜奶？看完这篇你就知道！_BB护理站_妈妈网 妈妈网-城市生活垂直平台,100.0
22,http://mini.eastday.com/mobile/161114172948252.html,"真实案例告诉你吸毒有多可怕 吸毒的人后来都怎么样了 东方头条网-东方网旗下《东方头条》是一款会自动学习的资讯软件,它会分析你的兴趣爱好,为你推荐喜欢的内容,并且越用越懂你.就要你好看,东方头条新闻网!",0.0
23,http://www.toutiao.com/a6469686018634154510/,“这三个地方，中年女人最易偷欢，扛不住” 女人出轨有其固定的地方，一则怕被打扰，二则安全，你知道几个？第一，宾馆。宾馆这个地方大家都知道是去干嘛，安静，安全，又能亲热，是出轨的首选地方，大家要注意啊。第二，私人餐馆。两个人,0.0
24,http://www.vccoo.com/v/7f3nv4?source=rss,新婚当晚，我越疼他越兴奋 - 微口网,0.0
25,http://bbs.fobshanghai.com/thread-984663-1-1.html,我的11年外贸SOHO经历，一共赚了1084.10万 (每年来更新一下，到我退休为止） - 外贸SOHO -  福步外贸论坛(FOB Business Forum) |中国第一外贸论坛 福步外贸论坛(FOB Business Forum) 今天是09年的大年初一，来更新这个贴，加上今年的情况，今年被人骗了些钱，做了这么多年的外贸还是要失手，看来平时还是要再小心点，09年的情况估计要比08年还要差些，不过希望还是在的，从我的客户询单来看，欧美为,100.0
