url_index,url,title,label
0,http://bj.jiwu.com/loupan/54830.html,"金融街金色漫香林小区,北京金融街金色漫香林二手房,地址,业主论坛,怎么样- 北京吉屋网",100.0
1,http://www.chinaz.com/web/2017/0925/807638.shtml,能留住客户的外贸网站设计很有讲究!如何才能不被忽悠?-UEESHOP - 站长之家,100.0
2,http://v.pptv.com/show/PibPXVE7WHVuibPKQ.html,国片大首映-20170929-成龙曝学不来小鲜肉耍帅 忆拍动作片像死刑一样_高清在线观看 - PP视频一起玩出精彩 - 原聚力视频、PPTV聚力,100.0
3,http://game.zol.com.cn/290/2902688.html,8000块贱卖初夜 网游女玩家失身日记曝光_游戏网络游戏-中关村在线,0.0
4,http://club.kdnet.net/dispbbs.asp?id=12291486&boardid=1,[原创]史上最丢人黑社会 【猫眼看人】-凯迪社区,0.0
5,http://home.meishichina.com/recipe-351615.html,家常担担面的做法_菜谱_美食天下,100.0
6,https://www.qiwen007.com/kejiqianyan/149891.html,科学家首次观测到“海平面指纹”-奇闻007,100.0
7,http://www.fobshanghai.com/cates/1214/,"福步外贸网,专注提供各类外贸服务",100.0
8,http://www.iqiyi.com/v_19rr8t60ds.html,托马斯小火车玩具视频_20170928期-能变成托马斯小火车的魔法棒-母婴-高清正版视频–爱奇艺,100.0
10,http://www.365yg.com/group/6262157704137490690/,阳光宽频网,100.0
11,http://power.zol.com.cn/656/6563136.html,英语渣渣出国游 准备这些让你不再尴尬_机箱电源新闻-中关村在线,100.0
12,http://sports.people.com.cn/GB/400299/409055/index.html,从名人战看中国围棋运动发展--体育--人民网,100.0
13,http://news.cqnews.net/html/2017-09/30/content_43035675.htm,"""砥砺奋进的五年""成就展:八旬老太触网带村民致富-新闻频道-华龙网",100.0
14,http://news.ynet.com/2017/10/12/557077t70.html,立体花坛换品种 长街继续俏菊花_YNET.com北青网,100.0
15,http://yuqing.dbw.cn/system/2017/10/12/001229104.shtml,故宫售票处结束92年历史 观念不要绊了技术的脚-东北网舆情频道-东北网,100.0
16,http://www.cclycs.com/u146643.html,结婚当天遭绑架，我被陌生男人强暴。再次见面，我又不小心把手放在了他裤裆。-言情馆,0.0
17,http://www.happyjuzi.com/article-158459.html,怎样跟直男解释口红的档次？_橘子娱乐,100.0
18,http://v.youku.com/v_show/id_XNDU0MzQxMzY0.html,[拍客]实拍：女友闹别扭车站内裸奔—在线播放—优酷网，视频高清在线观看,0.0
19,http://youdao.com/w/eng/motherfucker/#keyfrom=dict2.top.suggest,【motherfucker】什么意思_英语motherfucker的翻译_音标_读音_用法_例句_在线翻译_有道词典,0.0
20,http://www.runoob.com/lua/lua-error-handling.html,Lua 错误处理 | 菜鸟教程,100.0
